Ativo,Segmento,Quantidade,PrecoMedio,PrecoAtual,Investido,Atualizado,LucroPrejuizo,Variacao,Dividendos,YieldBruto,YieldTotal
BRCO11,Galpões Logisticos,134.0,116.21906716417911,112.69,15573.355000000001,15100.46,-472.89500000000226,-0.030365646965602622,127.3,0.10262299403793862,0.10598733544414274
BTLG11,Galpões Logisticos,200.0,96.04932916666668,102.74,19209.865833333337,20548.0,1338.134166666663,0.06965869404172031,162.0,0.10602629093176485,0.09881986471523496
CPTI11,FI-Infra,140.0,97.77271111111111,86.88,13688.179555555555,12163.199999999999,-1524.9795555555556,-0.11140850025864979,161.0,0.15064202049513575,0.17092930515280025
GARE11,Híbrido,2500.0,8.592572,8.15,21481.43,20375.0,-1106.4300000000003,-0.051506347575557165,207.5,0.12227493121214184,0.12929155401351244
MALL11,Shopping Centers,160.0,101.71759375,103.99,16274.815,16638.399999999998,363.5849999999973,0.022340346111461074,160.0,0.12456641921356337,0.12169889017650326
PVBI11,Lajes Corporativas,120.0,73.40566666666665,73.7,8808.679999999998,8844.0,35.32000000000153,0.004009681359749884,48.0,0.06738585277066789,0.06710865276548805
RBVA11,Renda Urbana,2470.0,96.85956255103638,8.89,23924.311950105985,21958.300000000003,-1966.0119501059817,-0.08217632148444176,222.3,0.11738015769370591,0.1284827072062371
RBRR11,Papel CRIs,100.0,99.22471389645777,78.53,9922.471389645778,7853.0,-2069.471389645778,-0.2085641075070569,90.0,0.11444128724167513,0.1465356977312504
RZTR11,Agronegócio,195.0,104.08117948717948,89.79,20295.829999999998,17509.050000000003,-2786.779999999995,-0.13730800859092707,195.0,0.12158658116367005,0.14214313694593872
TRXF11,Renda Urbana,270.0,97.80422222222221,91.77,26407.139999999996,24777.899999999998,-1629.239999999998,-0.06169695014302945,251.1,0.12026628916402116,0.12862074649706634
TGAR11,,132.0,86.1535101010101,52.47,11372.263333333332,6926.04,-4446.223333333332,-0.3909708386984825,95.04,0.10502656054917359,0.17767949501051072
DIVO11,,100.0,133.46645,121.79,13346.645,12179.0,-1167.6450000000004,-0.08748603113366693,,0.0,0.0
LFTB11,,593.0,119.46946037099494,122.8,70845.39,72820.4,1975.0099999999948,0.027877748996794294,,0.0,0.0
BBDC4,,1000.0,20.8088998725059,17.47,20808.8998725059,17470.0,-3338.899872505899,-0.16045537692828615,,0.0,0.0
BBDC4,,1000.0,20.8088998725059,17.47,20808.8998725059,17470.0,-3338.899872505899,-0.16045537692828615,,0.0,0.0
BBSE3,,1100.0,30.587577857142854,38.9,33646.33564285714,42790.0,9143.664357142858,0.27175810329538774,,0.0,0.0
CXSE3,,600.0,17.13977457448843,19.64,10283.864744693059,11784.0,1500.135255306941,0.14587271347389885,,0.0,0.0
EQTL3,,400.0,39.10929166666667,37.05,15643.716666666669,14819.999999999998,-823.7166666666708,-0.052654793244998555,,0.0,0.0
ITSA4,,1300.0,12.535935897435897,12.79,16296.716666666665,16627.0,330.28333333333467,0.020266863570678417,,0.0,0.0
TRPL4,,500.0,24.163721107056606,27.65,12081.860553528302,13825.0,1743.1394464716977,0.14427740154331148,,0.0,0.0
VALE3,,100.0,65.06943018310149,80.75,6506.943018310149,8075.0,1568.0569816898515,0.24098212897783688,,0.0,0.0
