Ativo_ID,Data,Valor
3,2024-10-18,87000.0
3,2024-10-25,87000.0
3,2024-11-01,87000.0
3,2024-11-09,100533.33
3,2024-11-16,100533.33
3,2024-11-23,100533.33
3,2024-11-30,100533.34
3,2024-12-07,114066.66
3,2024-12-14,114066.66
3,2024-12-21,114066.66
3,2024-12-28,114066.66
3,2024-12-31,114066.66
3,2025-01-09,127599.99
3,2025-01-17,127599.99
3,2025-01-24,127599.99
3,2025-01-31,127599.99
3,2025-02-10,141133.32
3,2025-02-17,141133.32
3,2025-02-22,141133.32
3,2025-03-01,141133.32
3,2025-03-08,154666.65
3,2025-03-12,154666.65
3,2025-03-21,154666.65
3,2025-03-28,154666.65
3,2025-03-31,154666.65
3,2025-04-05,154666.65
3,2025-04-15,168199.98
3,2025-04-19,168199.98
3,2025-04-28,168199.98
3,2025-05-01,168199.98
3,2025-05-10,181733.31
3,2025-05-19,181733.31
3,2025-05-27,181733.31
3,2025-06-01,181733.31
3,2025-06-07,195266.64
3,2025-06-13,195266.64
3,2025-06-20,195266.64
3,2025-06-27,195266.64
3,2025-07-01,195266.64
3,2025-07-12,195266.64
3,2025-07-17,208799.97
3,2025-07-28,208799.97
3,2025-08-01,208799.97
3,2025-08-12,222333.3
3,2025-08-22,222333.3
3,2025-08-29,222333.3
3,2025-09-09,222333.3
3,2025-09-19,235866.63
3,2025-10-01,235866.63
3,2025-10-25,249399.96
3,2025-10-31,249399.96
3,2025-11-10,249399.96
3,2025-11-21,262933.29
3,2025-11-28,262933.29
3,2025-12-12,276466.62
3,2025-12-19,276466.62
3,2026-01-01,276466.62
3,2026-01-24,289999.95
3,2026-01-30,289999.95
3,2026-02-16,289999.95
3,2026-02-27,289999.95
3,2026-03-09,289999.95
3,2026-03-20,289999.95
3,2026-03-31,289999.95
3,2026-04-17,289999.95
3,2026-05-01,289999.95
3,2026-05-13,289999.95
3,2026-05-30,289999.95
3,2026-06-09,289999.95
3,2026-06-16,289999.95
4,2026-03-09,181704.15
4,2026-03-20,181698.23
4,2026-03-31,181595.09
4,2026-04-17,184525.55
4,2026-05-01,184422.52
4,2026-05-13,185592.85
4,2026-05-30,186748.43
4,2026-06-09,186352.94
4,2026-06-16,187589.82
5,2026-03-09,180939.68
5,2026-03-20,179066.95
5,2026-03-31,176163.26
5,2026-04-17,189604.93
5,2026-05-01,185728.25
5,2026-05-13,187099.65
5,2026-05-30,187141.76
5,2026-06-09,183727.8
5,2026-06-16,184762.84
6,2024-01-06,279035.62
6,2024-01-13,279756.47
6,2024-01-20,280502.32
6,2024-01-27,281274.93
6,2024-01-30,281775.72
6,2024-02-03,282196.96
6,2024-02-10,282958.46
6,2024-02-17,283326.45
6,2024-02-24,284086.85
6,2024-03-01,284935.91
6,2024-03-09,285748.51
6,2024-03-16,286446.38
6,2024-03-23,287166.84
6,2024-03-30,287705.86
6,2024-04-06,288237.43
6,2024-04-13,288814.81
6,2024-04-20,289484.46
6,2024-05-01,290386.78
6,2024-05-04,290620.86
6,2024-05-11,291216.63
6,2024-05-18,291705.0
6,2024-05-25,292461.27
6,2024-06-01,292957.79
6,2024-06-08,293668.88
6,2024-06-15,294336.49
6,2024-06-22,294950.85
6,2024-06-29,295588.38
6,2024-07-06,296248.65
6,2024-07-13,296920.06
6,2024-07-20,297547.05
6,2024-07-27,298413.58
6,2024-08-01,298719.12
6,2024-08-13,299769.39
6,2024-08-17,300157.51
6,2024-08-24,300882.41
6,2024-09-02,301640.07
6,2024-09-07,302211.9
6,2024-09-30,304131.91
6,2024-10-05,304642.45
6,2024-10-18,305793.37
6,2024-10-25,306391.97
6,2024-11-01,307071.19
6,2024-11-09,307700.07
6,2024-11-16,308238.19
6,2024-11-23,308743.53
6,2024-11-30,309522.67
6,2024-12-07,309858.98
6,2024-12-14,309769.79
6,2024-12-21,310151.87
6,2024-12-28,310071.84
6,2024-12-31,310275.38
6,2025-01-09,311341.26
6,2025-01-17,312190.18
6,2025-01-24,313104.29
6,2025-01-31,313740.24
6,2025-02-10,314787.83
6,2025-02-17,315685.84
6,2025-02-22,316351.04
6,2025-03-01,317274.23
6,2025-03-08,317733.76
6,2025-03-12,318172.18
6,2025-03-21,319142.41
6,2025-03-28,320218.93
6,2025-03-31,320360.26
6,2025-04-05,321080.24
6,2025-04-15,322153.18
6,2025-04-19,322465.6
6,2025-04-28,323127.01
6,2025-05-01,323477.65
6,2025-05-10,324508.15
6,2025-05-19,325634.93
6,2025-05-27,326677.98
6,2025-06-01,327271.14
6,2025-06-07,328053.33
6,2025-06-13,329112.54
6,2025-06-20,329779.97
6,2025-06-27,330813.99
6,2025-07-01,330995.92
6,2025-07-12,332703.78
6,2025-07-17,333416.2
6,2025-07-28,334779.48
6,2025-08-01,335530.89
6,2025-08-12,336833.02
6,2025-08-22,338298.85
6,2025-08-29,339114.68
6,2025-09-09,340442.86
6,2025-09-19,342029.91
6,2025-10-01,343453.56
6,2025-10-25,346564.26
6,2025-10-31,347405.95
6,2025-11-10,348339.79
6,2025-11-21,349931.18
6,2025-11-28,350621.5
6,2025-12-12,352595.71
6,2025-12-19,353585.44
6,2026-01-01,355160.69
6,2026-01-24,358302.86
6,2026-01-30,359224.75
6,2026-02-16,360157.54
6,2026-02-27,361484.79
6,2026-03-09,362643.83
6,2026-03-20,360765.18
6,2026-03-31,357758.35
6,2026-04-17,374130.48
6,2026-05-01,370150.77
6,2026-05-13,372692.5
6,2026-05-30,373890.19
